"年月","公共交通分类","公共交通营办商类别","专营权类别","过海乘客人次","过海乘客人次注"
"201301","Fran_Bus","KMB","",8397.072,""
"201301","Fran_Bus","CTB","1",4430.334,""
"201301","Fran_Bus","CTB","2",392.294,""
"201301","Fran_Bus","NWFB","",5302.408,""
"201301","Railways","MTRC","",33835.667,""
"201301","Ferries","NWFF","",237.559,""
"201301","Ferries","STF","",1767.984,""
"201301","Ferries","LFS","",87.139,""
"201302","Fran_Bus","CTB","2",371.565,""
"201302","Fran_Bus","CTB","1",4008.695,""
"201302","Fran_Bus","KMB","",7494.336,""
"201302","Fran_Bus","NWFB","",4618.416,""
"201302","Ferries","LFS","",71.845,""
"201302","Ferries","STF","",1701.151,""
"201302","Ferries","NWFF","",203.177,""
"201302","Railways","MTRC","",29273.187,""
"201303","Fran_Bus","KMB","",8378.593,""
"201303","Fran_Bus","CTB","1",4429.581,""
"201303","Fran_Bus","CTB","2",409.507,""
"201303","Ferries","STF","",1803.663,""
"201303","Ferries","NWFF","",228.61,""
"201303","Railways","MTRC","",32881.135,""
"201303","Fran_Bus","NWFB","",5252.782,""
"201303","Ferries","LFS","",82.388,""
"201304","Fran_Bus","CTB","2",397.202,""
"201304","Fran_Bus","CTB","1",4188.874,""
"201304","Fran_Bus","KMB","",7898.778,""
"201304","Fran_Bus","NWFB","",5014.174,""
"201304","Ferries","LFS","",85.56,""
"201304","Ferries","STF","",1651.081,""
"201304","Ferries","NWFF","",219.605,""
"201304","Railways","MTRC","",31326.094,""
"201305","Fran_Bus","CTB","2",401.542,""
"201305","Fran_Bus","CTB","1",4330.823,""
"201305","Fran_Bus","KMB","",8110.115,""
"201305","Fran_Bus","NWFB","",5175.722,""
"201305","Railways","MTRC","",32436.271,""
"201305","Ferries","NWFF","",229.115,""
"201305","Ferries","STF","",1951.548,""
"201305","Ferries","LFS","",87.414,""
"201306","Fran_Bus","CTB","2",408.993,""
"201306","Fran_Bus","CTB","1",4145.627,""
"201306","Fran_Bus","KMB","",7742.15,""
"201306","Fran_Bus","NWFB","",4916.892,""
"201306","Ferries","LFS","",79.305,""
"201306","Ferries","STF","",1707.391,""
"201306","Ferries","NWFF","",213.28,""
"201306","Railways","MTRC","",31544.738,""
"201307","Fran_Bus","KMB","",8381.571,""
"201307","Fran_Bus","CTB","1",4502.503,""
"201307","Fran_Bus","CTB","2",434.358,""
"201307","Fran_Bus","NWFB","",5261.427,""
"201307","Railways","MTRC","",35085.024,""
"201307","Ferries","NWFF","",230.021,""
"201307","Ferries","STF","",1874.469,""
"201307","Ferries","LFS","",88.745,""
"201308","Fran_Bus","KMB","",8238.544,""
"201308","Fran_Bus","CTB","1",4456.786,""
"201308","Fran_Bus","CTB","2",430.207,""
"201308","Fran_Bus","NWFB","",5178.675,""
"201308","Railways","MTRC","",34591.918,""
"201308","Ferries","NWFF","",219.196,""
"201308","Ferries","STF","",1875.915,""
"201308","Ferries","LFS","",85.12,""
"201309","Ferries","STF","",1548.697,""
"201309","Ferries","NWFF","",221.56,""
